Date,Time,Order Number,Item Description,Quantity Sold,Sold Price
2026-04-03,19:19:42,22-14438-47256,2024 Panini Select - Draft Selection Memorabilia Michael Penix Jr. #DSM-MPJ Red,1,3.49
2026-04-03,23:24:21,24-14450-75196,Mawile - 246/217 - 2026 Pokemon Ascended Heroes NM Illustration Rare,1,6.99
2026-04-03,23:24:22,24-14450-75196,Pokemon Hitmontop 240/217- Ascended Heroes Illustration Rare IR Full Art,1,11.99
2026-04-04,9:13:43,15-14450-49600,Pokemon TCG 15 Card Lot 1 Ultra Rare + All Holos | No Bulk | IR DR EX VMAX V,10,89
2026-04-04,10:03:37,19-14445-00019,Pokemon TCG 15 Card Lot 1 Ultra Rare + All Holos | No Bulk | IR DR EX VMAX V,2,20.56
2026-04-04,14:25:43,08-14461-63885,Pokemon TCG 15 Card Lot 1 Ultra Rare + All Holos | No Bulk | IR DR EX VMAX V,4,35.76
2026-04-05,1:08:51,22-14442-90718,Pokemon TCG 15 Card Lot 1 Ultra Rare + All Holos | No Bulk | IR DR EX VMAX V,2,20.16
2026-04-05,15:07:50,12-14460-24756,NFL 15 Card Football Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | No Base,1,9.99
2026-04-05,22:00:48,12-14461-74985,NFL 15 Card Football Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | No Base,5,44.9
2026-04-06,8:11:23,17-14455-86927,Barry Sanders Purple Scope Hall Of Fame 2025 Panini Mosaic #291 Detroit Lions,1,2.37
2026-04-06,10:34:02,26-14443-48037,NFL 15 Card Football Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | No Base,1,9.98
